filename,plate.pos,arb.sort,sampID,sample.type,timepoint,date,time,extractplate,rnaprepplate,Unmapped,Multimapping,No Feature,Ambiguous Unstranded,Ambiguous Forward,plate_row,plate_col,Total Reads,Unmapped Over Mapped
A2450525897_n01_LICRNA01_A01,A01,1,LIC001,plant,t01,11/1/23,8:00,LIC_01,LICRNA_01,2633048.0,334817.0,112554.0,202285.0,22008.0,A,1,2248661.0,1.1709403951951851
A2450525897_n01_LICRNA01_B01,B01,2,LIC002,plant,t01,11/1/23,8:00,LIC_01,LICRNA_01,5074184.0,776239.0,226718.0,494847.0,49830.0,B,1,5984566.0,0.8478783590990558
A2450525897_n01_LICRNA01_C01,C01,3,LIC003,plant,t01,11/1/23,8:00,LIC_01,LICRNA_01,2283008.0,427910.0,97848.0,271449.0,28416.0,C,1,2936453.0,0.7774713233959474
A2450525897_n01_LICRNA01_D01,D01,4,LIC004,plant,t01,11/1/23,8:00,LIC_01,LICRNA_01,1263467.0,177674.0,49095.0,123691.0,13452.0,D,1,1359823.0,0.9291407778806506
A2450525897_n01_LICRNA01_E01,E01,5,LIC005,plant,t01,11/1/23,8:00,LIC_01,LICRNA_01,3004324.0,309156.0,135512.0,229101.0,26474.0,E,1,2680737.0,1.1207082231490817
A2450525897_n01_LICRNA01_F01,F01,6,LIC006,plant,t01,11/1/23,8:00,LIC_01,LICRNA_01,4577311.0,799822.0,113185.0,223211.0,25062.0,F,1,2483101.0,1.843384944873366
A2450525897_n01_LICRNA01_G01,G01,7,LIC007,plant,t01,11/1/23,8:00,LIC_01,LICRNA_01,1558637.0,214925.0,38268.0,93028.0,11009.0,G,1,988991.0,1.575987041338091
A2450525897_n01_LICRNA01_H01,H01,8,LIC008,plant,t01,11/1/23,8:00,LIC_01,LICRNA_01,5166151.0,639150.0,178636.0,364998.0,41517.0,H,1,4167119.0,1.2397416536460801
A2450525897_n01_LICRNA01_A02,A02,9,LIC013,plant,t02,11/7/23,8:00,LIC_01,LICRNA_01,1949300.0,268405.0,93820.0,171813.0,20291.0,A,2,1942508.0,1.003496510696481
A2450525897_n01_LICRNA01_B02,B02,10,LIC014,plant,t02,11/7/23,8:00,LIC_01,LICRNA_01,5558289.0,561130.0,378067.0,503201.0,56989.0,B,2,5479289.0,1.0144179290415234
A2450525897_n01_LICRNA01_C02,C02,11,LIC015,plant,t02,11/7/23,8:00,LIC_01,LICRNA_01,2901362.0,280631.0,91866.0,158256.0,19082.0,C,2,1648083.0,1.7604465309089408
A2450525897_n01_LICRNA01_D02,D02,12,LIC016,plant,t02,11/7/23,8:00,LIC_01,LICRNA_01,5147075.0,400598.0,146811.0,264494.0,27766.0,D,2,2692148.0,1.9118841163264426
A2450525897_n01_LICRNA01_E02,E02,13,LIC017,plant,t02,11/7/23,8:00,LIC_01,LICRNA_01,4498762.0,896386.0,394186.0,780866.0,79390.0,E,2,8122024.0,0.5538966641812435
A2450525897_n01_LICRNA01_F02,F02,14,LIC018,plant,t02,11/7/23,8:00,LIC_01,LICRNA_01,7244532.0,1462845.0,258247.0,569525.0,63147.0,F,2,6150794.0,1.177820619581797
A2450525897_n01_LICRNA01_G02,G02,15,LIC019,plant,t02,11/7/23,8:00,LIC_01,LICRNA_01,3886559.0,636243.0,204963.0,410838.0,45993.0,G,2,4309039.0,0.9019549370520898
A2450525897_n01_LICRNA01_H02,H02,16,LIC020,plant,t02,11/7/23,8:00,LIC_01,LICRNA_01,2712289.0,1222127.0,118255.0,270718.0,25923.0,H,2,2786297.0,0.973438581744875
A2450525897_n01_LICRNA01_A03,A03,17,LIC025,plant,t03,11/14/23,8:00,LIC_01,LICRNA_01,2288354.0,286307.0,114403.0,201126.0,22811.0,A,3,2167043.0,1.055979969017689
A2450525897_n01_LICRNA01_B03,B03,18,LIC026,plant,t03,11/14/23,8:00,LIC_01,LICRNA_01,11156787.0,1090482.0,496131.0,735765.0,91233.0,B,3,8305980.0,1.343223436608323
A2450525897_n01_LICRNA01_C03,C03,19,LIC027,plant,t03,11/14/23,8:00,LIC_01,LICRNA_01,3759413.0,372285.0,155564.0,311803.0,33460.0,C,3,3383804.0,1.1110019965695412
A2450525897_n01_LICRNA01_D03,D03,20,LIC028,plant,t03,11/14/23,8:00,LIC_01,LICRNA_01,4939895.0,439105.0,236869.0,445312.0,50329.0,D,3,4794182.0,1.0303937147150442
A2450525897_n01_LICRNA01_E03,E03,21,LIC029,plant,t03,11/14/23,8:00,LIC_01,LICRNA_01,2727574.0,237638.0,84709.0,191335.0,20046.0,E,3,2045401.0,1.333515530695448
A2450525897_n01_LICRNA01_F03,F03,22,LIC030,plant,t03,11/14/23,8:00,LIC_01,LICRNA_01,1573677.0,193245.0,34840.0,65954.0,6987.0,F,3,709805.0,2.217055388451758
A2450525897_n01_LICRNA01_G03,G03,23,LIC031,plant,t03,11/14/23,8:00,LIC_01,LICRNA_01,9494464.0,783063.0,337545.0,604898.0,74289.0,G,3,6622832.0,1.4335957789658562
A2450525897_n01_LICRNA01_H03,H03,24,LIC032,plant,t03,11/14/23,8:00,LIC_01,LICRNA_01,9002596.0,632071.0,270031.0,416397.0,51075.0,H,3,4554314.0,1.9767183378221176
A2450525897_n01_LICRNA01_A04,A04,25,LIC037,plant,t04,11/17/23,8:00,LIC_01,LICRNA_01,1834214.0,431465.0,143200.0,245946.0,28628.0,A,4,2680867.0,0.6841868693971017
A2450525897_n01_LICRNA01_B04,B04,26,LIC038,plant,t04,11/17/23,8:00,LIC_01,LICRNA_01,3026183.0,661424.0,244766.0,522374.0,53124.0,B,4,5560259.0,0.5442521652318714
A2450525897_n01_LICRNA01_C04,C04,27,LIC039,plant,t04,11/17/23,8:00,LIC_01,LICRNA_01,4683380.0,670714.0,256911.0,503835.0,58695.0,C,4,5317603.0,0.8807314122547321
A2450525897_n01_LICRNA01_D04,D04,28,LIC040,plant,t04,11/17/23,8:00,LIC_01,LICRNA_01,3464212.0,422425.0,173074.0,347858.0,40600.0,D,4,3753628.0,0.9228969945876363
A2450525897_n01_LICRNA01_E04,E04,29,LIC041,plant,t04,11/17/23,8:00,LIC_01,LICRNA_01,2517607.0,334480.0,36033.0,120737.0,12554.0,E,4,1238138.0,2.0333815778208892
A2450525897_n01_LICRNA01_F04,F04,30,LIC042,plant,t04,11/17/23,8:00,LIC_01,LICRNA_01,3844291.0,503206.0,83999.0,201894.0,22649.0,F,4,2181927.0,1.7618788346264564
A2450525897_n01_LICRNA01_G04,G04,31,LIC043,plant,t04,11/17/23,8:00,LIC_01,LICRNA_01,2241674.0,418302.0,98576.0,227474.0,26788.0,G,4,2426520.0,0.923822593673244
A2450525897_n01_LICRNA01_H04,H04,32,LIC044,plant,t04,11/17/23,8:00,LIC_01,LICRNA_01,4890090.0,770605.0,325768.0,528563.0,69064.0,H,4,5994912.0,0.8157067192979647
A2450525897_n01_LICRNA01_A05,A05,33,LIC049,plant,t05,11/21/23,8:00,LIC_01,LICRNA_01,1745314.0,439253.0,98638.0,190909.0,21221.0,A,5,2356898.0,0.7405131660343384
A2450525897_n01_LICRNA01_B05,B05,34,LIC050,plant,t05,11/21/23,8:00,LIC_01,LICRNA_01,1247492.0,302916.0,130149.0,222025.0,24907.0,B,5,2730883.0,0.4568090247733059
A2450525897_n01_LICRNA01_C05,C05,35,LIC051,plant,t05,11/21/23,8:00,LIC_01,LICRNA_01,1002663.0,221243.0,75035.0,176932.0,17870.0,C,5,2055935.0,0.48769197469764364
A2450525897_n01_LICRNA01_D05,D05,36,LIC052,plant,t05,11/21/23,8:00,LIC_01,LICRNA_01,2545919.0,280619.0,107738.0,220814.0,25588.0,D,5,2491475.0,1.0218521157145868
