,filename,plate.pos,arb.sort,sampID,sample.type,timepoint,date,time,extractplate,rnaprepplate
0,A2450525897_n01_LICRNA01_A01.fastq.gz,A01,1,LIC001,plant,t01,11/1/23,8:00,LIC_01,LICRNA_01
1,A2450525897_n01_LICRNA01_B01.fastq.gz,B01,2,LIC002,plant,t01,11/1/23,8:00,LIC_01,LICRNA_01
2,A2450525897_n01_LICRNA01_C01.fastq.gz,C01,3,LIC003,plant,t01,11/1/23,8:00,LIC_01,LICRNA_01
3,A2450525897_n01_LICRNA01_D01.fastq.gz,D01,4,LIC004,plant,t01,11/1/23,8:00,LIC_01,LICRNA_01
4,A2450525897_n01_LICRNA01_E01.fastq.gz,E01,5,LIC005,plant,t01,11/1/23,8:00,LIC_01,LICRNA_01
5,A2450525897_n01_LICRNA01_F01.fastq.gz,F01,6,LIC006,plant,t01,11/1/23,8:00,LIC_01,LICRNA_01
6,A2450525897_n01_LICRNA01_G01.fastq.gz,G01,7,LIC007,plant,t01,11/1/23,8:00,LIC_01,LICRNA_01
7,A2450525897_n01_LICRNA01_H01.fastq.gz,H01,8,LIC008,plant,t01,11/1/23,8:00,LIC_01,LICRNA_01
8,A2450525897_n01_LICRNA01_A02.fastq.gz,A02,9,LIC013,plant,t02,11/7/23,8:00,LIC_01,LICRNA_01
9,A2450525897_n01_LICRNA01_B02.fastq.gz,B02,10,LIC014,plant,t02,11/7/23,8:00,LIC_01,LICRNA_01
10,A2450525897_n01_LICRNA01_C02.fastq.gz,C02,11,LIC015,plant,t02,11/7/23,8:00,LIC_01,LICRNA_01
11,A2450525897_n01_LICRNA01_D02.fastq.gz,D02,12,LIC016,plant,t02,11/7/23,8:00,LIC_01,LICRNA_01
12,A2450525897_n01_LICRNA01_E02.fastq.gz,E02,13,LIC017,plant,t02,11/7/23,8:00,LIC_01,LICRNA_01
13,A2450525897_n01_LICRNA01_F02.fastq.gz,F02,14,LIC018,plant,t02,11/7/23,8:00,LIC_01,LICRNA_01
14,A2450525897_n01_LICRNA01_G02.fastq.gz,G02,15,LIC019,plant,t02,11/7/23,8:00,LIC_01,LICRNA_01
15,A2450525897_n01_LICRNA01_H02.fastq.gz,H02,16,LIC020,plant,t02,11/7/23,8:00,LIC_01,LICRNA_01
16,A2450525897_n01_LICRNA01_A03.fastq.gz,A03,17,LIC025,plant,t03,11/14/23,8:00,LIC_01,LICRNA_01
17,A2450525897_n01_LICRNA01_B03.fastq.gz,B03,18,LIC026,plant,t03,11/14/23,8:00,LIC_01,LICRNA_01
18,A2450525897_n01_LICRNA01_C03.fastq.gz,C03,19,LIC027,plant,t03,11/14/23,8:00,LIC_01,LICRNA_01
19,A2450525897_n01_LICRNA01_D03.fastq.gz,D03,20,LIC028,plant,t03,11/14/23,8:00,LIC_01,LICRNA_01
20,A2450525897_n01_LICRNA01_E03.fastq.gz,E03,21,LIC029,plant,t03,11/14/23,8:00,LIC_01,LICRNA_01
21,A2450525897_n01_LICRNA01_F03.fastq.gz,F03,22,LIC030,plant,t03,11/14/23,8:00,LIC_01,LICRNA_01
22,A2450525897_n01_LICRNA01_G03.fastq.gz,G03,23,LIC031,plant,t03,11/14/23,8:00,LIC_01,LICRNA_01
23,A2450525897_n01_LICRNA01_H03.fastq.gz,H03,24,LIC032,plant,t03,11/14/23,8:00,LIC_01,LICRNA_01
24,A2450525897_n01_LICRNA01_A04.fastq.gz,A04,25,LIC037,plant,t04,11/17/23,8:00,LIC_01,LICRNA_01
25,A2450525897_n01_LICRNA01_B04.fastq.gz,B04,26,LIC038,plant,t04,11/17/23,8:00,LIC_01,LICRNA_01
26,A2450525897_n01_LICRNA01_C04.fastq.gz,C04,27,LIC039,plant,t04,11/17/23,8:00,LIC_01,LICRNA_01
