timepoint,Series,Relative Abundance,Relative Abundance (Min-Max)
t01,Curtobacterium,0.5,0.48780487804878053
t02,Curtobacterium,1.025,1.0
t03,Curtobacterium,0.34285714285714286,0.3344947735191638
t04,Curtobacterium,0.475,0.4634146341463415
t05,Curtobacterium,0.3375,0.3292682926829269
t06,Curtobacterium,0.0,0.0
t07,Curtobacterium,0.17142857142857143,0.1672473867595819
t08,Curtobacterium,0.1125,0.10975609756097562
t09,Curtobacterium,0.0,0.0
t10,Curtobacterium,0.1625,0.1585365853658537
t11,Curtobacterium,0.3375,0.3292682926829269
t12,Curtobacterium,0.08333333333333333,0.08130081300813008
t13,Curtobacterium,0.0,0.0
t14,Curtobacterium,0.14285714285714285,0.13937282229965156
t15,Curtobacterium,0.0,0.0
t16,Curtobacterium,0.0,0.0
t17,Curtobacterium,0.0,0.0
t18,Curtobacterium,0.1142857142857143,0.11149825783972127
t19,Curtobacterium,0.0,0.0
t20,Curtobacterium,0.0,0.0
t21,Curtobacterium,0.0,0.0
t22,Curtobacterium,0.0,0.0
t23,Curtobacterium,0.0,0.0
t24,Curtobacterium,0.0,0.0
t25,Curtobacterium,0.0,0.0
t26,Curtobacterium,0.0,0.0
t27,Curtobacterium,0.0,0.0
t28,Curtobacterium,0.0,0.0
t01,Microbacterium_A_383321,2.4375,0.6435643564356436
t02,Microbacterium_A_383321,1.9875,0.5247524752475248
t03,Microbacterium_A_383321,2.0428571428571427,0.5393682225365393
t04,Microbacterium_A_383321,2.8875,0.7623762376237624
t05,Microbacterium_A_383321,3.7875,1.0
t06,Microbacterium_A_383321,1.6999999999999997,0.4488448844884488
t07,Microbacterium_A_383321,1.4142857142857144,0.3734087694483734
t08,Microbacterium_A_383321,1.925,0.5082508250825083
t09,Microbacterium_A_383321,1.6,0.42244224422442245
t10,Microbacterium_A_383321,0.5125,0.13531353135313529
t11,Microbacterium_A_383321,1.2375,0.32673267326732675
t12,Microbacterium_A_383321,0.3666666666666667,0.09680968096809682
t13,Microbacterium_A_383321,0.09999999999999999,0.0264026402640264
t14,Microbacterium_A_383321,0.7428571428571429,0.19613389910419612
t15,Microbacterium_A_383321,0.3125,0.08250825082508251
t16,Microbacterium_A_383321,0.1,0.026402640264026403
t17,Microbacterium_A_383321,0.15,0.039603960396039604
t18,Microbacterium_A_383321,0.6428571428571429,0.16973125884016974
t19,Microbacterium_A_383321,0.125,0.033003300330033
t20,Microbacterium_A_383321,0.2375,0.0627062706270627
t21,Microbacterium_A_383321,0.4125,0.1089108910891089
t22,Microbacterium_A_383321,0.4,0.10561056105610561
t23,Microbacterium_A_383321,0.275,0.07260726072607261
t24,Microbacterium_A_383321,0.1875,0.0495049504950495
t25,Microbacterium_A_383321,0.07142857142857142,0.018859028760018857
t26,Microbacterium_A_383321,0.0,0.0
t27,Microbacterium_A_383321,0.0,0.0
t28,Microbacterium_A_383321,0.0,0.0
t01,Pseudomonas_B_650453,3.6875,1.0
t02,Pseudomonas_B_650453,2.1875,0.5932203389830508
t03,Pseudomonas_B_650453,1.614285714285714,0.43777239709443094
t04,Pseudomonas_B_650453,1.6875,0.4576271186440678
t05,Pseudomonas_B_650453,2.3375,0.6338983050847458
t06,Pseudomonas_B_650453,0.6714285714285714,0.1820823244552058
t07,Pseudomonas_B_650453,1.4857142857142858,0.40290556900726393
t08,Pseudomonas_B_650453,0.175,0.04745762711864406
t09,Pseudomonas_B_650453,0.4714285714285714,0.12784503631961258
t10,Pseudomonas_B_650453,0.3125,0.0847457627118644
t11,Pseudomonas_B_650453,2.7125,0.735593220338983
t12,Pseudomonas_B_650453,0.09999999999999999,0.02711864406779661
t13,Pseudomonas_B_650453,0.09999999999999999,0.02711864406779661
t14,Pseudomonas_B_650453,0.0,0.0
t15,Pseudomonas_B_650453,0.0,0.0
